Quater,State,Net Interstate Migration,Net Overseas Migration,Number of change
1/12/1994,Victoria,-4907,1405,-3502
1/12/1994,Western Australia,541,751,1292
1/03/1995,Australian Capital Territory,629,437,1066
1/03/1995,New South Wales,-4447,9776,5329
1/03/1995,Northern Territory,778,117,895
1/03/1995,Queensland,10659,3049,13708
1/03/1995,South Australia,-2214,943,-1271
1/03/1995,Tasmania,-746,190,-556
1/03/1995,Victoria,-6357,6915,558
1/03/1995,Western Australia,1698,3269,4967
1/06/1995,Australian Capital Territory,-640,95,-545
1/06/1995,New South Wales,-2961,11205,8244
1/06/1995,Northern Territory,-242,171,-71
1/06/1995,Queensland,10272,3560,13832
1/06/1995,South Australia,-1994,965,-1029
1/06/1995,Tasmania,-748,27,-721
1/06/1995,Victoria,-5062,4864,-198
1/06/1995,Western Australia,1375,2925,4300
1/09/1995,Australian Capital Territory,-196,193,-3
1/09/1995,New South Wales,-2527,12797,10270
1/09/1995,Northern Territory,-188,238,50
1/09/1995,Queensland,8643,4134,12777
1/09/1995,South Australia,-2144,1024,-1120
1/09/1995,Tasmania,-623,143,-480
1/09/1995,Victoria,-4088,6962,2874
1/09/1995,Western Australia,1123,3651,4774
1/12/1995,Australian Capital Territory,-972,53,-919
1/12/1995,New South Wales,-4506,14384,9878
1/12/1995,Northern Territory,1068,146,1214
1/12/1995,Queensland,8898,2967,11865
1/12/1995,South Australia,-1493,980,-513
1/12/1995,Tasmania,-614,46,-568
1/12/1995,Victoria,-2698,7435,4737
1/12/1995,Western Australia,317,3203,3520
1/03/1996,Australian Capital Territory,437,42,479
1/03/1996,New South Wales,-5522,11172,5650
1/03/1996,Northern Territory,-46,61,15
1/03/1996,Queensland,9495,2902,12397
1/03/1996,South Australia,-1465,896,-569
1/03/1996,Tasmania,-884,115,-769
1/03/1996,Victoria,-3203,6772,3569
1/03/1996,Western Australia,1188,3182,4370
1/06/1996,Australian Capital Territory,75,102,177
1/06/1996,New South Wales,-2215,9692,7477
1/06/1996,Northern Territory,-506,124,-382
1/06/1996,Queensland,5578,3048,8626
1/06/1996,South Australia,-1090,753,-337
1/06/1996,Tasmania,-469,94,-375
1/06/1996,Victoria,-2811,4523,1712
1/06/1996,Western Australia,1438,2303,3741
1/09/1996,Australian Capital Territory,-467,179,-288
1/09/1996,New South Wales,-3401,13982,10581
1/09/1996,Northern Territory,647,321,968
1/09/1996,Queensland,6409,4814,11223
1/09/1996,South Australia,-1209,1069,-140
1/09/1996,Tasmania,-650,164,-486
1/09/1996,Victoria,-2606,7794,5188
1/09/1996,Western Australia,1289,3967,5256
1/12/1996,Australian Capital Territory,-292,-190,-482
1/12/1996,New South Wales,-3241,9484,6243
1/12/1996,Northern Territory,365,67,432
1/12/1996,Queensland,5321,1946,7267
1/12/1996,South Australia,-855,758,-97
1/12/1996,Tasmania,-919,82,-837
1/12/1996,Victoria,-1361,4343,2982
1/12/1996,Western Australia,994,2888,3882
1/03/1997,Australian Capital Territory,-688,132,-556
1/03/1997,New South Wales,-2519,11134,8615
1/03/1997,Northern Territory,-2,125,123
1/03/1997,Queensland,3561,4506,8067
1/03/1997,South Australia,-710,1143,433
1/03/1997,Tasmania,-740,32,-708
1/03/1997,Victoria,-684,7982,7298
1/03/1997,Western Australia,1795,4309,6104
1/06/1997,Australian Capital Territory,-1023,-191,-1214
1/06/1997,New South Wales,-1500,2691,1191
1/06/1997,Northern Territory,744,28,772
1/06/1997,Queensland,4314,1354,5668
1/06/1997,South Australia,-544,136,-408
1/06/1997,Tasmania,-1016,-24,-1040
1/06/1997,Victoria,-1544,959,-585
1/06/1997,Western Australia,582,1116,1698
1/09/1997,Australian Capital Territory,-934,-79,-1013
1/09/1997,New South Wales,-3144,9222,6078
1/09/1997,Northern Territory,-62,262,200
1/09/1997,Queensland,5274,4116,9390
1/09/1997,South Australia,-468,813,345
1/09/1997,Tasmania,-791,-20,-811
1/09/1997,Victoria,-539,5593,5054
1/09/1997,Western Australia,676,3021,3697
1/12/1997,Australian Capital Territory,-536,-247,-783
1/12/1997,New South Wales,-3555,6668,3113
1/12/1997,Northern Territory,-139,-2,-141
1/12/1997,Queensland,4995,1831,6826
1/12/1997,South Australia,-743,758,15
1/12/1997,Tasmania,-864,9,-855
1/12/1997,Victoria,126,2683,2809
